Count,Decrypted Password,Time Without Multithreading,Time With Multithreading
1,AA00,0.001422,0.001226
2,AA01,0.002445,0.002446
3,AA02,0.003678,0.003687
4,AA03,0.004931,0.004944
5,AA04,0.006155,0.006188
6,AA05,0.007416,0.007462
7,AA06,0.008646,0.008690
8,AA07,0.009896,0.009973
9,AA08,0.011199,0.011245
10,AA09,0.012440,0.012418
11,AA10,0.013688,0.013648
12,AA11,0.014946,0.014710
13,AA12,0.016231,0.016106
14,AA13,0.017212,0.017263
15,AA14,0.018509,0.018467
16,AA15,0.019948,0.019768
17,AA16,0.021132,0.020983
18,AA17,0.022400,0.022320
19,AA18,0.023479,0.023602
20,AA19,0.024838,0.024898
21,AA20,0.026840,0.026424
22,AA21,0.027065,0.027189
23,AA22,0.028490,0.028175
24,AA23,0.029414,0.029690
25,AA24,0.030926,0.030915
26,AA25,0.032161,0.032274
27,AA26,0.033411,0.033271
28,AA27,0.034722,0.034713
29,AA28,0.035887,0.036480
30,AA29,0.037140,0.037609
31,AA30,0.038773,0.038634
32,AA31,0.039891,0.039745
33,AA32,0.041044,0.040863
34,AA33,0.042073,0.042225
35,AA34,0.043601,0.043572
36,AA35,0.044668,0.044693
37,AA36,0.045932,0.046282
38,AA37,0.047112,0.047296
39,AA38,0.048363,0.048329
40,AA39,0.050804,0.050583
41,AA40,0.052015,0.053037
42,AA41,0.055105,0.054687
43,AA42,0.056120,0.055883
44,AA43,0.055811,0.055882
45,AA44,0.056820,0.056586
46,AA45,0.057869,0.057729
47,AA46,0.058202,0.058611
48,AA47,0.059584,0.059370
49,AA48,0.061000,0.061186
50,AA49,0.062404,0.062136
51,AA50,0.063537,0.063446
52,AA51,0.064172,0.064430
53,AA52,0.065880,0.066226
54,AA53,0.066916,0.077171
55,AA54,0.074306,0.073007
56,AA55,0.076282,0.073979
57,AA56,0.092947,0.072421
58,AA57,0.073292,0.073210
59,AA58,0.074137,0.073984
60,AA59,0.075464,0.075401
61,AA60,0.076734,0.076893
62,AA61,0.078072,0.078158
63,AA62,0.079554,0.079664
64,AA63,0.080993,0.080872
65,AA64,0.081803,0.081712
66,AA65,0.082890,0.082950
67,AA66,0.084708,0.084705
68,AA67,0.085943,0.085983
69,AA68,0.087192,0.086701
70,AA69,0.087387,0.087229
71,AA70,0.088144,0.087595
72,AA71,0.089235,0.089355
73,AA72,0.091579,0.091954
74,AA73,0.093006,0.092625
75,AA74,0.093622,0.093554
76,AA75,0.095043,0.095721
77,AA76,0.096890,0.096730
78,AA77,0.097843,0.097741
79,AA78,0.098954,0.099139
80,AA79,0.100317,0.100191
81,AA80,0.102046,0.102099
82,AA81,0.103356,0.103168
83,AA82,0.103904,0.104056
84,AA83,0.105118,0.105014
85,AA84,0.106423,0.106485
86,AA85,0.107576,0.106974
87,AA86,0.107885,0.108122
88,AA87,0.109154,0.109250
89,AA88,0.110351,0.110729
90,AA89,0.111541,0.111720
91,AA90,0.112975,0.113232
92,AA91,0.113903,0.114093
93,AA92,0.114948,0.115536
94,AA93,0.117018,0.117319
95,AA94,0.118641,0.117921
96,AA95,0.119640,0.118877
97,AA96,0.119205,0.119771
98,AA97,0.121576,0.121274
99,AA98,0.122690,0.123198
100,AA99,0.124162,0.124262
101,AB00,0.125021,0.125344
102,AB01,0.126823,0.127206
103,AB02,0.128150,0.128046
104,AB03,0.129633,0.129143
105,AB04,0.130648,0.130329
106,AB05,0.131488,0.131723
107,AB06,0.132820,0.132824
108,AB07,0.134341,0.133927
109,AB08,0.135254,0.135606
110,AB09,0.136460,0.136131
111,AB10,0.137214,0.137616
112,AB11,0.138834,0.138929
113,AB12,0.139419,0.140121
114,AB13,0.141144,0.141481
115,AB14,0.143004,0.142970
116,AB15,0.143994,0.143799
117,AB16,0.148085,0.150163
118,AB17,0.150327,0.150022
119,AB18,0.148973,0.149382
120,AB19,0.149339,0.148914
121,AB20,0.151472,0.151596
122,AB21,0.152848,0.152868
123,AB22,0.154163,0.155165
124,AB23,0.157100,0.175773
125,AB24,0.161409,0.156188
126,AB25,0.156855,0.156915
127,AB26,0.158071,0.157831
128,AB27,0.158370,0.158271
129,AB28,0.160917,0.162117
130,AB29,0.163172,0.162016
131,AB30,0.163639,0.162923
132,AB31,0.165858,0.165159
133,AB32,0.165344,0.166829
134,AB33,0.169019,0.168943
135,AB34,0.172219,0.174018
136,AB35,0.171330,0.198570
137,AB36,0.173037,0.171715
138,AB37,0.173239,0.173528
139,AB38,0.173001,0.171947
140,AB39,0.173238,0.173555
141,AB40,0.175689,0.177204
142,AB41,0.178312,0.177648
143,AB42,0.178805,0.179497
144,AB43,0.181772,0.183000
145,AB44,0.181641,0.181835
146,AB45,0.183320,0.182100
147,AB46,0.182897,0.184336
148,AB47,0.184652,0.185212
149,AB48,0.185928,0.188097
150,AB49,0.188231,0.188359
151,AB50,0.191074,0.187463
152,AB51,0.188350,0.189132
153,AB52,0.191530,0.189981
154,AB53,0.191152,0.191398
155,AB54,0.192169,0.191967
156,AB55,0.193712,0.193653
157,AB56,0.198318,0.194921
158,AB57,0.195939,0.196976
159,AB58,0.196496,0.196828
160,AB59,0.198562,0.198815
161,AB60,0.199914,0.200195
162,AB61,0.201208,0.201530
163,AB62,0.202817,0.202161
164,AB63,0.203045,0.204061
165,AB64,0.205412,0.204898
166,AB65,0.205471,0.205891
167,AB66,0.206896,0.206946
168,AB67,0.208562,0.208102
169,AB68,0.209612,0.210101
170,AB69,0.211506,0.211442
171,AB70,0.212007,0.211897
172,AB71,0.214283,0.214208
173,AB72,0.214697,0.215229
174,AB73,0.215542,0.216086
175,AB74,0.217483,0.217409
176,AB75,0.218804,0.217760
177,AB76,0.220172,0.219452
178,AB77,0.220848,0.221004
179,AB78,0.222006,0.221984
180,AB79,0.223372,0.223905
181,AB80,0.223915,0.224501
182,AB81,0.226376,0.226427
183,AB82,0.227605,0.227023
184,AB83,0.228807,0.229075
185,AB84,0.229749,0.230051
186,AB85,0.230759,0.230656
187,AB86,0.232146,0.232028
188,AB87,0.233973,0.233005
189,AB88,0.234554,0.234819
190,AB89,0.235389,0.235204
191,AB90,0.236591,0.236902
192,AB91,0.238792,0.238167
193,AB92,0.239549,0.239487
194,AB93,0.240909,0.241439
195,AB94,0.241535,0.242012
196,AB95,0.243593,0.243418
197,AB96,0.244377,0.243957
198,AB97,0.245390,0.246186
199,AB98,0.246840,0.247470
200,AB99,0.248254,0.248994
2601,BA00,3.228878,0.250045
2602,BA01,3.231984,0.250699
2603,BA02,3.229529,0.251973
2604,BA03,3.236069,0.253647
2605,BA04,3.234471,0.254769
2606,BA05,3.230695,0.255358
2607,BA06,3.230101,0.256386
2608,BA07,3.242988,0.261341
2609,BA08,3.285946,0.263913
2610,BA09,3.265750,0.261156
2611,BA10,3.345269,0.268918
2612,BA11,3.289196,0.265646
2613,BA12,3.254075,0.266544
2614,BA13,3.279135,0.266070
2615,BA14,3.250887,0.266888
2616,BA15,3.250671,0.268634
2617,BA16,3.249351,0.269245
2618,BA17,3.249624,0.270398
2619,BA18,3.251140,0.271574
2620,BA19,3.252324,0.273528
2621,BA20,3.256737,0.274422
2622,BA21,3.253465,0.275740
2623,BA22,3.254888,0.277293
2624,BA23,3.260571,0.278123
2625,BA24,3.259044,0.279639
2626,BA25,3.260415,0.280745
2627,BA26,3.298360,0.286552
2628,BA27,3.309107,0.284848
2629,BA28,3.284046,0.284933
2630,BA29,3.274515,0.285553
2631,BA30,3.267010,0.286580
2632,BA31,3.264828,0.287687
2633,BA32,3.264741,0.288779
2634,BA33,3.263959,0.290590
2635,BA34,3.268728,0.291215
2636,BA35,3.269477,0.292438
2637,BA36,3.266927,0.293113
2638,BA37,3.270064,0.295062
2639,BA38,3.268906,0.296346
2640,BA39,3.272008,0.297506
2641,BA40,3.273230,0.299028
2642,BA41,3.276519,0.300691
2643,BA42,3.280768,0.301239
2644,BA43,3.276433,0.301708
2645,BA44,3.278492,0.303687
2646,BA45,3.280586,0.304724
2647,BA46,3.281345,0.306323
2648,BA47,3.281863,0.307521
2649,BA48,3.284808,0.308611
2650,BA49,3.286236,0.309135
2651,BA50,3.285498,0.311137
2652,BA51,3.286163,0.312403
2653,BA52,3.292667,0.314226
2654,BA53,3.294160,0.315296
2655,BA54,3.292981,0.316188
2656,BA55,3.292481,0.318285
2657,BA56,3.292328,0.318507
2658,BA57,3.292313,0.320452
2659,BA58,3.292544,0.320793
2660,BA59,3.294883,0.321530
2661,BA60,3.293516,0.323481
2662,BA61,3.295629,0.324668
2663,BA62,3.298571,0.325920
2664,BA63,3.298535,0.326400
2665,BA64,3.300098,0.327605
2666,BA65,3.320672,0.336790
2667,BA66,3.370594,0.336405
2668,BA67,3.367899,0.338293
2669,BA68,3.360131,0.338710
2670,BA69,3.343372,0.335416
2671,BA70,3.309740,0.335655
2672,BA71,3.311378,0.337224
2673,BA72,3.314023,0.339438
2674,BA73,3.317863,0.339035
2675,BA74,3.312659,0.341132
2676,BA75,3.318031,0.341472
2677,BA76,3.310458,0.342983
2678,BA77,3.320455,0.344851
2679,BA78,3.317045,0.345447
2680,BA79,3.312158,0.345593
2681,BA80,3.318631,0.347540
2682,BA81,3.320550,0.349146
2683,BA82,3.320566,0.350092
2684,BA83,3.317872,0.351585
2685,BA84,3.321310,0.351935
2686,BA85,3.326090,0.353830
2687,BA86,3.330646,0.354903
2688,BA87,3.328477,0.357463
2689,BA88,3.330079,0.357973
2690,BA89,3.336604,0.359698
2691,BA90,3.335133,0.360614
2692,BA91,3.334202,0.361974
2693,BA92,3.338173,0.363670
2694,BA93,3.337349,0.364582
2695,BA94,3.334979,0.364952
2696,BA95,3.335013,0.365825
2697,BA96,3.336223,0.367603
2698,BA97,3.341992,0.367607
2699,BA98,3.330121,0.368866
2700,BA99,3.344063,0.371056
2701,BB00,3.336443,0.372636
2702,BB01,3.342552,0.373630
2703,BB02,3.343134,0.375066
2704,BB03,3.344959,0.375823
2705,BB04,3.343220,0.377625
2706,BB05,3.348248,0.378275
2707,BB06,3.348628,0.379993
2708,BB07,3.345288,0.380408
2709,BB08,3.345207,0.381571
2710,BB09,3.348526,0.383061
2711,BB10,3.352881,0.384523
2712,BB11,3.349443,0.384795
2713,BB12,3.354420,0.386150
2714,BB13,3.355398,0.387963
2715,BB14,3.357657,0.390507
2716,BB15,3.359435,0.390648
2717,BB16,3.357246,0.391948
2718,BB17,3.357153,0.392737
2719,BB18,3.359231,0.394543
2720,BB19,3.362251,0.395527
2721,BB20,3.364436,0.396846
2722,BB21,3.365996,0.397896
2723,BB22,3.367288,0.399518
2724,BB23,3.368064,0.400983
2725,BB24,3.373487,0.402126
2726,BB25,3.370909,0.403292
2727,BB26,3.376111,0.404917
2728,BB27,3.378401,0.407059
2729,BB28,3.378881,0.407032
2730,BB29,3.379778,0.407778
2731,BB30,3.384047,0.409369
2732,BB31,3.389073,0.416861
2733,BB32,3.456286,0.413296
2734,BB33,3.392820,0.413225
2735,BB34,3.389429,0.414143
2736,BB35,3.391089,0.419170
2737,BB36,3.403040,0.417930
2738,BB37,3.392162,0.418883
2739,BB38,3.388066,0.419776
2740,BB39,3.403649,0.421864
2741,BB40,3.395766,0.422488
2742,BB41,3.396376,0.423187
2743,BB42,3.398371,0.425815
2744,BB43,3.395197,0.426028
2745,BB44,3.402500,0.427374
2746,BB45,3.401599,0.428446
2747,BB46,3.402972,0.429750
2748,BB47,3.402347,0.429474
2749,BB48,3.404267,0.432108
2750,BB49,3.415564,0.434145
2751,BB50,3.511252,0.441087
2752,BB51,3.460841,0.442012
2753,BB52,3.477241,0.446574
2754,BB53,3.461388,0.440202
2755,BB54,3.426983,0.445126
2756,BB55,3.432175,0.441340
2757,BB56,3.424097,0.443455
2758,BB57,3.420632,0.444198
2759,BB58,3.423370,0.445898
2760,BB59,3.424249,0.446194
2761,BB60,3.421959,0.447538
2762,BB61,3.426631,0.448586
2763,BB62,3.421946,0.448476
2764,BB63,3.428181,0.451613
2765,BB64,3.426647,0.452505
2766,BB65,3.426852,0.452816
2767,BB66,3.429349,0.455391
2768,BB67,3.437095,0.456078
2769,BB68,3.431615,0.458313
2770,BB69,3.431802,0.458529
2771,BB70,3.435690,0.459291
2772,BB71,3.433476,0.460178
2773,BB72,3.437150,0.461687
2774,BB73,3.434970,0.463207
2775,BB74,3.435800,0.464368
2776,BB75,3.437222,0.465184
2777,BB76,3.438420,0.465928
2778,BB77,3.455685,0.470747
2779,BB78,3.478405,0.469901
2780,BB79,3.459421,0.479699
2781,BB80,3.654428,0.501631
2782,BB81,3.514324,0.474476
2783,BB82,3.456372,0.475830
2784,BB83,3.564608,0.488752
2785,BB84,3.475016,0.477204
2786,BB85,3.459761,0.478602
2787,BB86,3.461841,0.480219
2788,BB87,3.455627,0.481001
2789,BB88,3.452518,0.480152
2790,BB89,3.458510,0.483222
2791,BB90,3.460409,0.484640
2792,BB91,3.460835,0.486022
2793,BB92,3.462462,0.487187
2794,BB93,3.462600,0.488062
2795,BB94,3.463059,0.489630
2796,BB95,3.466461,0.490662
2797,BB96,3.465388,0.491682
2798,BB97,3.466038,0.493536
2799,BB98,3.470191,0.494694
2800,BB99,3.468847,0.494989
